id,username,acctdesc,location,language,following,followers,totaltweets,usercreatedts,verified,tweetcreatedts,retweetcount,favouritecount,text,hashtags,profilePic
<built-in function id>,DonnerHeidi,"4th Gen NorCal Native. Love: Museums, Visual Art, Tahoe. Fave Presidents: Coolidge & Reagan Photo: Dad & Mom WW2 #CivDei",East San Francisco Bay Area,,675,295,90359,2016-12-18 21:33:01,False,2021-04-02 23:58:25,36,0,"A Deep Dive on #Covid Data Shows We Knew Way Back Those at Risk, But Destroyed the Economy for Everybody Anyway @Hounsizzle  https://t.co/CvmmKERpnp","[{'text': 'Covid', 'indices': [30, 36]}]",http://pbs.twimg.com/profile_images/810622695951847424/wnkvlbo6_normal.jpg
<built-in function id>,JGouldNS,"Internist, Critical Care and GIM practice, #MedEd fan, Tweets my own",Corner Brook,,307,77,879,2010-10-08 13:05:00,False,2021-04-02 23:58:10,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 

Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1897327934/nauescape864_normal.jpg
<built-in function id>,Brandi56501624,"Former #PuppyMill Mama Dog from Kentucky. #Rescued Living in Ottawa, Ontario. #AdoptDontShop  #SquirrelsWelcome #CatsWelcome #Birbs",Unceded Algonquin Territory,,91,7,239,2021-01-03 15:40:44,False,2021-04-02 23:58:06,6507,0,"Despite what @fordnation says.
My intubated 30-50 year old #COVID patients were not congregating by choice.

They were working in essential jobs where they have the highest exposure risk and the least protection.

Do not insult their sacrifice.","[{'text': 'COVID', 'indices': [74, 80]}]",http://pbs.twimg.com/profile_images/1345757222182248449/VfAgxymk_normal.jpg
<built-in function id>,TheTraceC,,New York,,1371,1620,38216,2011-02-15 17:57:18,False,2021-04-02 23:57:58,0,0,"#BigAng Star #LindaTorres Dead at 67, Had #COVID-19 #RIP  https://t.co/6TKpfFVBKY","[{'text': 'BigAng', 'indices': [0, 7]}, {'text': 'LindaTorres', 'indices': [13, 25]}, {'text': 'COVID', 'indices': [42, 48]}, {'text': 'RIP', 'indices': [52, 56]}]",http://pbs.twimg.com/profile_images/984810343682789377/vvBkHxSV_normal.jpg
<built-in function id>,KWCoachTerry,"Lab Technician, minor basketball administrator and Board member of WMBA and KWCC.  International ranked Slo-Pitch Umpire (and all around nice guy :) ). (he/his)",Winnipeg Canada,,1490,412,14820,2011-05-05 19:52:37,False,2021-04-02 23:57:53,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 

Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/535498766241890304/ecEFf6oS_normal.jpeg
<built-in function id>,JJHutts,,,,145,78,19043,2015-12-19 01:22:54,False,2021-04-02 23:57:52,17,0,"Out of the 1,100 new cases identified, 300 were variants of concern, meaning 33 per cent of active cases are now variants.  https://t.co/F7a5tmlWWX #abhealth #covid",[],http://pbs.twimg.com/profile_images/678023688189444096/lVeTzBz0_normal.jpg
<built-in function id>,HomelessQuatchi,"Former Olympic Mascot. Homeless, Hungry Sasquatch surviving in Vancouver. #Webcomic Homeless Quatchi & Friends","Vancouver, Canada",,822,388,41117,2012-12-04 19:17:19,False,2021-04-02 23:57:50,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 

Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/943633775820398593/VYomoxgQ_normal.jpg
<built-in function id>,LeonardoZ,"Every day is an opportunity to learn more, share and grow.","Orange Co, CA",,2094,2504,60580,2008-08-22 20:11:39,False,2021-04-02 23:57:35,0,0,California to Allow Indoor Gatherings As Virus Cases Plummet #covid #California https://t.co/MgMHBp2etq,"[{'text': 'covid', 'indices': [61, 67]}, {'text': 'California', 'indices': [68, 79]}]",http://pbs.twimg.com/profile_images/136934551/DSCN0044_normal.jpg
<built-in function id>,Vorisskan,Copywriter | Dad,,,108,11,487,2020-12-13 14:50:59,False,2021-04-02 23:57:06,7,0,"We were listed as a key player in the #COVID-19 medicine market in a @BrandEssenceMR report.

Learn more about the driving factors and trends of this market.

$AGN.CN $AGW $AGNPF
https://t.co/MnSGZDG3m5","[{'text': 'COVID', 'indices': [58, 64]}]",http://pbs.twimg.com/profile_images/1338135143244988416/SfMvuCzG_normal.jpg
<built-in function id>,wcbs880,The news that matters to you from local experts and trusted sources. Listen now on the free @Audacy app.,"New York, NY",,1132,23711,131345,2008-10-15 05:11:21,True,2021-04-02 23:57:04,2,0,Why are Covid cases still high in places like Newark NJ? We ask ⁦@ShereefElnahal⁩ plus why one ER Doc says any new surge will never top last years nightmare #880InDepth #Covid ⁦@peterhaskell880⁩ ⁦@wcbs880⁩ Give it a listen https://t.co/FcVqQ53Bnp,[],http://pbs.twimg.com/profile_images/1032190762018979840/LKfS53JQ_normal.jpg
<built-in function id>,dwatchnews_mena,"#DemocracyWatch News MENA Curates and covers news for West Asia, North Africa & Central Asia on #democracy #HumanRights #PressFreedom #environment #OpenGov","North Africa,West/Central Asia",,2714,670,40281,2015-04-24 07:57:43,False,2021-04-02 23:56:53,19,0,"#Iran: Coronavirus death toll in 533 cities surpasses 242,000
The fourth wave of COVID-19 outbreak is more deadly
#Coronavirus #Covid #Covid_19 #vaccines  https://t.co/X0JmU9DfbE","[{'text': 'Iran', 'indices': [17, 22]}]",http://pbs.twimg.com/profile_images/595109740356599809/b1x50qms_normal.jpg
<built-in function id>,cake,Have better conversations about the topics that fascinate you.,,,35,602,320,2009-11-14 02:49:12,False,2021-04-02 23:56:46,1,0,On Cake we have a live discussion about using apps and wearable tech to detect Covid-19... https://t.co/l1xX5MO4oD #COVID19 #COVID #apps #tech #technology,"[{'text': 'COVID19', 'indices': [115, 123]}, {'text': 'COVID', 'indices': [124, 130]}, {'text': 'apps', 'indices': [131, 136]}, {'text': 'tech', 'indices': [137, 142]}, {'text': 'technology', 'indices': [143, 154]}]",http://pbs.twimg.com/profile_images/807018562913079297/il8WDdwp_normal.jpg
<built-in function id>,UnderhillS13,I'm here for memes and news,,,88,35,2510,2020-11-14 21:48:07,False,2021-04-02 23:56:45,772,0,"We used this portable heart-lung machine as salvage therapy in a younger patients whose lungs had been damaged by #COVID. 

Until @ongov provides essential workers with #PaidSickDays, workplace protection &amp; access to vaccinations, this machine will continue to be used. https://t.co/JuAgPhFm8N","[{'text': 'COVID', 'indices': [129, 135]}]",http://pbs.twimg.com/profile_images/1342565401981579264/dNxUrTym_normal.jpg
<built-in function id>,wagscgo,I am  a retired LEO that was Injured on duty.  I am now pod casting. I see problems from 3 sides and I may offend you with the facts.,"Chicago, IL",,242,26,2369,2012-03-04 07:30:00,False,2021-04-02 23:56:45,27,0,"Total adverse reactions to #COVID vaccinations in the UK 

Pfizer: 116,627
Astra Zeneca: 377,487
Others: 1,231
TOTAL: 495,345

Source: https://t.co/QKiWedDScZ https://t.co/6DYsiBM99w","[{'text': 'COVID', 'indices': [47, 53]}]",http://pbs.twimg.com/profile_images/976093849272528902/hyMX0v05_normal.jpg
<built-in function id>,Maura2e2_,Politics / social justice / bothered by unfairness/ pb4p member💪/ eat the rich / animal & nature lover / worked in UK Saudi US / love travel,Killaloe Co. Clare🇮🇪Eire🇮🇪,,4996,3659,131174,2016-06-14 12:12:32,False,2021-04-02 23:56:26,59,0,What has been achieved in vaccine delivery is due to the GPs and in spite of rather than because of HSE. Can someone remind me why we need this bureaucratic dysfunctional organisation in addition to Dept of Health?? Apart from jobs for boys..Time to end it?? #covid @LeoVaradkar,[],http://pbs.twimg.com/profile_images/1369255738917466112/GT4Ad9Cr_normal.jpg
<built-in function id>,FredBoness,Science gifted math econ glass art gardening geopolitics aircraft philosophy space LLAP,"Fond du Lac, WI",,647,310,19005,2013-03-01 20:16:41,False,2021-04-02 23:56:19,36,0,"A Deep Dive on #Covid Data Shows We Knew Way Back Those at Risk, But Destroyed the Economy for Everybody Anyway @Hounsizzle  https://t.co/CvmmKERpnp","[{'text': 'Covid', 'indices': [30, 36]}]",http://pbs.twimg.com/profile_images/1136334535681908736/eg8Uu4HW_normal.png
<built-in function id>,Fuxit2,,,,0,0,40,2019-03-21 21:05:24,False,2021-04-02 23:55:59,1,0,#COVID unlock #localpubs 4 #localpeople,"[{'text': 'COVID', 'indices': [12, 18]}, {'text': 'localpubs', 'indices': [26, 36]}, {'text': 'localpeople', 'indices': [39, 51]}]",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
<built-in function id>,M_3927,WNBA MN Lynx. NHL Hockey. Hamline University & U of MN (IT) alumni.,,,362,97,14707,2013-02-07 12:49:24,False,2021-04-02 23:55:54,6,0,Update: Got my immunization records 24 hours after I requested it via the Minnesota Immunization Information Connection (which combines your jabs into a single record). Both #COVID jabs were there. https://t.co/Dn0XZ2io6Y https://t.co/HhSeSWujIV,[],http://pbs.twimg.com/profile_images/713423599596535808/tDOkKjPJ_normal.jpg
<built-in function id>,JGatawe,"Love Canada, opinions are my own.",,,0,374,13589,2018-12-24 03:41:34,False,2021-04-02 23:55:54,2,0,"@DProwse55 @SabrinaMaddeaux The real interesting data is that of those that are #covid19 infected in Canada are 1.5x more likely to die than those is USA. While Canada has universal healthcare it does not allow #covid medicines to be used where as in USA various med have been used successfully.
#cdnpoli","[{'text': 'covid19', 'indices': [80, 88]}, {'text': 'covid', 'indices': [211, 217]}, {'text': 'cdnpoli', 'indices': [296, 304]}]",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
