,0
#covid,4.0
#coronavirus,4.0
#COVID,3.0
#facemasks,2.0
#covid19,2.0
#COVID-19,2.0
#socialdistancing,2.0
#COVID19,1.0
#RIP,1.0
#BigAng,1.0
#Sudan,1.0
#OriginOfCOVID19,1.0
#UnrestrictedBiowarfare,1.0
#Corona,1.0
#CCPVirus,1.0
#UnrestrictedBioweapon,1.0
#localpeople,1.0
#DRASTIC,1.0
#localpubs,1.0
#glitter,1.0
#fantasy,1.0
#mermaids,1.0
#glam,1.0
#metsvsnats,1.0
#Mets,1.0
#famiglie,1.0
#LindaTorres,1.0
